Title,Description,Priority,Labels,Status
"[SEC-01] Fechar escalacao de privilegio na policy de onboarding (usuarios)","A migration 030_onboarding_self_update.sql criou a policy usuario_atualiza_proprio_onboarding com USING (id = auth.uid()) WITH CHECK (id = auth.uid()) em FOR UPDATE. RLS no Postgres e por LINHA, nao por coluna: isso libera o usuario a alterar QUALQUER coluna da propria linha, inclusive cargo, organizacao_id e perfil_plataforma. O trigger trg_sincronizar_super_admin (migration 034) seta super_admin=true automaticamente quando perfil_plataforma='super_admin', e as policies da migration 035 dao leitura de TODAS as organizacoes e TODOS os usuarios pra quem tem esse perfil. Resultado: um corretor executa um update na propria linha e le a base inteira de todos os clientes da plataforma. Correcao: nova migration que dropa a policy e a substitui por trigger BEFORE UPDATE bloqueando alteracao de cargo/organizacao_id/perfil_plataforma/super_admin no auto-update, ou move os campos de onboarding pra tabela propria.",Urgent,"seguranca,banco,critico",Todo
"[SEC-02] Exigir autenticacao em listarUsuariosPlataforma e listarOrganizacoesAdmin","src/actions/usuarios-plataforma.ts:59 (listarUsuariosPlataforma) e :423 (listarOrganizacoesAdmin) sao Server Actions exportadas que NAO chamam verificarAcessoAdmin(), diferente de todas as outras funcoes do mesmo arquivo. Elas usam o cliente admin (service role, ignora RLS) e retornam nome, email, cargo, perfil e organizacao de TODOS os usuarios de TODOS os tenants, mais a lista completa de organizacoes. Server Action e despachada pelo header Next-Action em qualquer rota, entao e alcancavel sem sessao. Correcao: adicionar o guard verificarAcessoAdmin() no inicio das duas funcoes, igual as demais do arquivo.",Urgent,"seguranca,backend,critico,lgpd",Todo
"[SEC-03] Autenticar o webhook de portais","src/app/api/webhooks/portais/route.ts:18 nao valida assinatura nem segredo. A organizacao alvo vem do proprio payload (x-org-slug/x-org-id ou org_slug/org_id/empresa_id no body) e o insert usa o cliente admin. Pior: com telefone no payload, dispara enviarMensagemProativaPortal, que manda mensagem pelo WhatsApp DA IMOBILIARIA VITIMA pra um numero escolhido pelo atacante. O slug e publico (e a URL do site). Impacto: injecao de leads falsos e uso do numero do cliente pra spam, com risco de ban do WhatsApp. Correcao: segredo por organizacao (coluna webhook_secret) validado em tempo constante antes de qualquer escrita; nunca resolver a org so pelo input nao autenticado.",Urgent,"seguranca,backend,critico,webhook",Todo
"[SEC-04] Corrigir IDOR em removerUsuario (apaga usuario de outra imobiliaria)","src/actions/usuarios.ts:240 checa apenas que o chamador esta logado, tem permissao gerenciar_usuarios (admin de ALGUMA org) e nao esta se auto-removendo. Depois chama supabaseAdmin.auth.admin.deleteUser(usuarioAlvoId) sem verificar que o alvo pertence a organizacao do chamador. As funcoes irmas alterarCargo e alternarStatusUsuario fazem esse escopo corretamente com .eq('organizacao_id', ...). Combinado com SEC-02 (que entrega os UUIDs), um admin de qualquer org apaga permanentemente a conta de qualquer usuario da plataforma. Correcao: carregar o alvo e exigir alvo.organizacao_id === usuario.organizacao_id antes do delete.",Urgent,"seguranca,backend,critico",Todo
"[SEC-05] Proteger os endpoints de controle da IA no Railway","agent-railway/agente/main.py: /api/ai/global-toggle (linha 772), /api/ai/toggle (748), /api/ai/unblock (804) e /api/ai/clear-memory/{id} (792) nao tem nenhuma autenticacao. O global-toggle so le {enabled: bool} do body e grava no Redis a flag lida no caminho do webhook — qualquer pessoa na internet desliga o agente de TODOS os clientes com um POST. O endpoint vizinho /admin/limpar-memoria (859) ja valida Authorization: Bearer INTERNAL_API_SECRET, entao o check foi so esquecido. Correcao: dependencia FastAPI compartilhada exigindo o mesmo bearer em todas as rotas /api/ai/*.",Urgent,"seguranca,agente,critico",Todo
"[SEC-06] Escopar as policies de Storage por organizacao","Os buckets site-assets (migration 007), imovel-fotos (002) e loteamento-fotos (026) liberam INSERT/UPDATE/DELETE apenas com bucket_id correto AND auth.uid() IS NOT NULL — sem checar o prefixo {organizacao_id} do caminho. Qualquer usuario logado de qualquer tenant apaga ou sobrescreve arquivos de outro. Como site-assets e publico, da pra trocar a logo/hero de outra imobiliaria e o site publico dela passa a servir a imagem trocada. Correcao: nova migration recriando as policies com (storage.foldername(name))[1] = public.organizacao_id_do_usuario()::text.",High,"seguranca,banco,storage",Todo
"[SEC-07] Tirar segredos das colunas legiveis por RLS","As policies de SELECT de organizacoes e config_whatsapp (migration 019) liberam a linha inteira pra qualquer membro da org, sem restricao de coluna nem de cargo. Essas linhas carregam organizacoes.whatsapp_token, stripe_customer_id/subscription_id, configuracoes_integracoes (o comentario da migration 009 diz que guarda chaves Stripe, OpenAI, Uazapi e Upstash e que seriam 'acessiveis apenas via Server Actions') e config_whatsapp.uazapi_token. Um corretor consulta o PostgREST direto com o proprio JWT e exfiltra as chaves. Correcao: mover credenciais pra tabela separada com policy admin-only, ou expor as tabelas ao cliente via view security_invoker sem as colunas secretas.",High,"seguranca,banco,segredos",Todo
"[SEC-08] Adicionar WITH CHECK em negocios e atividades","As policies negocios_update e atividades_update (migration 019, linhas 135 e 165) tem a forma 'dono OR (org = minha_org AND cargo)' e nao declaram WITH CHECK, entao o Postgres reaproveita o USING na validacao da linha nova. Como o ramo de posse (corretor_id = auth.uid()) nao amarra a organizacao, o dono consegue trocar o organizacao_id da propria linha e mover o negocio/atividade pra dentro de outra imobiliaria, que passa a ver dados com titulo e valor controlados pelo atacante no Kanban dela. Correcao: recriar as duas policies com WITH CHECK exigindo sempre organizacao_id = public.organizacao_id_do_usuario().",High,"seguranca,banco",Todo
"[SEC-09] Nao usar o BaseUrl do webhook como host de saida","agent-railway/agente/main.py:191 le api_url do campo BaseUrl do payload do webhook e o par (api_url, token) e usado nas chamadas a Uazapi, com o token REAL da organizacao no header. Como a identificacao da org pode acontecer so pelo campo instancia (inclusive pelo fallback de prefixo lyneimob-{org[:8]}), da pra forjar um webhook com BaseUrl apontando pro servidor do atacante e omitir o token: o servico preenche o token verdadeiro e o envia pro host do atacante (services/media.py:44). O mesmo estado permite SSRF cego via fileURL sem allowlist. Correcao: usar sempre a URL configurada no servidor pra org e ignorar BaseUrl; validar o host do fileURL.",High,"seguranca,agente",Todo
"[SEC-10] Escopar limparMemoriasOrganizacao por organizacao","src/actions/whatsapp.ts:313 tem nome 'da organizacao' mas consulta conversas_whatsapp com o cliente admin SEM filtro de organizacao_id, coletando as conversas da plataforma inteira e limpando a memoria Redis de cada uma. Qualquer admin ou gerente de qualquer org reseta o contexto do agente de todos os tenants. Correcao: acrescentar .eq('organizacao_id', usuario.organizacao_id) na consulta.",Medium,"seguranca,backend",Todo
